日期,股票代码,股票名称,昨日收盘,今日开盘,今日收盘,涨跌幅%,最高价,最低价,成交量,成交额,委买,委卖,换手率%,振幅%,量比,市盈率,总市值,流通市值,MA5,MA10,MA20,MACD,MACD信号,KDJ-K,KDJ-D,KDJ-J,RSI6,RSI12,主力净流入,所属板块,板块涨幅%,涨跌家数比,大盘成交额
2026-03-19,002624,完美世界,19.15,18.80,18.56,-3.08,18.81,18.01,463361,85592.01,213338,250023,2.54,4.18,0.86,亏损,360.06,339.23,18.56,18.56,18.56,-0.779,-0.694,59.28,36.04,105.35,40.58,40.58,-9703.27,游戏Ⅱ,-2.40,0.12,93526.50
2026-03-19,600111,北方稀土,49.01,48.10,46.62,-4.88,48.20,46.36,959198,452525.18,376030,583168,2.65,3.75,1.20,82.01,1685.34,1685.34,46.62,46.62,46.62,-1.502,-4.11,11.57,6.96,20.79,82.01,82.01,-69834.33,小金属,-5.28,0.12,93526.50
2026-03-19,002259,升达林业,5.56,5.56,5.51,-0.90,5.60,5.48,184124,10168.71,87764,96360,2.45,2.16,0.57,158.70,41.45,41.45,5.51,5.51,5.51,0.295,-1.014,11.99,2.51,30.94,158.70,158.70,-151.46,燃气Ⅱ,4.28,0.12,93526.50
2026-03-19,000001,上证指数,4062.98,4028.54,4006.55,-1.39,4042.02,3994.17,667255422,93526495.61,301628557,365626865,1.39,1.18,0.92,-,657770.74,616600.31,4006.55,4006.55,4006.55,-0.334,-0.698,-,-,-,-,-,-4715447.09,-,-1.39,0.12,93526.50
2026-03-24,002624,完美世界,16.86,17.08,17.43,3.38,17.44,16.83,445195,76046.0,225289,219906,2.44,3.62,0.95,38.11,318.57,338.14,,,,,,,,,,,,,,,
2026-03-24,600111,北方稀土,45.22,46.0,45.54,0.71,46.2,44.02,837741,376546.0,375176,462566,2.32,4.82,1.0,80.11,1646.3,1646.3,,,,,,,,,,,,,,,
2026-03-24,002259,升达林业,4.99,5.08,5.22,4.61,5.23,4.95,267133,13554.0,155631,111502,3.55,5.61,1.05,150.35,39.27,39.27,,,,,,,,,,,,,,,
2026-03-24,000001,上证指数,3813.28,3849.63,3881.28,1.78,3881.42,3807.99,680622039,93141884.0,0,0,1.42,1.93,0.99,0,597455.01,637997.12,,,,,,,,,,,,,,,
2026-03-20,600111,北方稀土,45.22,45.22,45.22,0.00,45.22,45.22,0,0,0,0,0,0,0,80.11,1646.3,1646.3,,,,,,,,,,,,,,,
2026-03-20,002259,升达林业,4.99,4.99,4.99,0.00,4.99,4.99,0,0,0,0,0,0,0,150.35,39.27,39.27,,,,,,,,,,,,,,,
2026-03-20,000001,上证指数,3813.28,3813.28,3813.28,0.00,3813.28,3813.28,0,0,0,0,0,0,0,0,597455.01,637997.12,,,,,,,,,,,,,,,
