日期,股票代码,股票名称,昨日收盘,今日开盘,今日收盘,涨跌幅%,最高价,最低价,成交量,成交额,委买,委卖,换手率%,振幅%,量比,市盈率,总市值,流通市值,MA5,MA10,MA20,MACD,MACD信号,KDJ-K,KDJ-D,KDJ-J,RSI6,RSI12,主力净流入,所属板块,板块涨幅%,涨跌家数比,大盘成交额
2026-03-26,002624,完美世界,18.11,18.1,18.1,-0.06,18.35,17.88,27686403,,,,,,,,,,17.67,18.38,19.52,0.871,4.413,43.2,45.46,38.68,35.21,31.14,,,,,
2026-03-26,600111,北方稀土,47.82,47.35,46.21,-3.37,47.35,46.14,69408115,,,,,,,,,,46.16,47.58,51.66,-0.038,7.401,30.76,37.17,17.94,32.5,20.11,,,,,
2026-03-26,002259,升达林业,5.24,5.27,5.37,2.48,5.45,5.22,34008452,,,,,,,,,,5.23,5.4,5.57,0.569,1.762,51.69,51.13,52.81,40.0,35.44,,,,,
2026-03-26,000001,上证指数,3931.838,3924.962,3889.084,-1.09,3937.104,3880.573,61597398100,,,,,,,,,,3894.51,3977.22,4051.89,57.244,376.242,30.09,36.72,16.83,28.84,27.4,,,,,
2026-03-25,002624,完美世界,17.43,17.85,18.11,3.9,18.53,17.8,42893580,,,,,,,,,,17.76,18.61,19.68,1.004,4.714,32.14,38.09,20.24,35.31,34.18,,,,,
2026-03-25,600111,北方稀土,45.54,46.1,47.82,5.01,47.82,46.09,115189422,,,,,,,,,,46.24,48.13,52.3,0.366,8.235,46.74,47.83,44.56,40.78,23.56,,,,,
2026-03-25,002259,升达林业,5.22,5.23,5.24,0.38,5.34,5.19,23104902,,,,,,,,,,5.25,5.44,5.59,0.6,1.832,26.83,34.55,11.39,36.67,32.0,,,,,
2026-03-25,000001,上证指数,3881.28,3892.269,3931.838,1.3,3933.061,3891.816,68834362600,,,,,,,,,,3918.0,4001.22,4064.77,73.287,404.95,40.41,43.6,34.03,34.52,33.58,,,,,
2026-03-24,002624,完美世界,16.86,17.08,17.43,3.38,17.44,16.83,44519505,,,,,,,,,,17.97,18.92,19.84,1.151,5.015,15.38,26.91,-7.68,18.75,26.96,,,,,
2026-03-24,600111,北方稀土,45.22,46.0,45.54,0.71,46.2,44.02,83774133,,,,,,,,,,46.48,48.59,52.94,0.66,9.099,17.67,28.44,-3.87,6.99,4.37,,,,,
2026-03-24,002259,升达林业,4.99,5.08,5.22,4.61,5.23,4.95,26713300,,,,,,,,,,5.32,5.49,5.61,0.645,1.9,25.2,33.46,8.68,34.44,28.22,,,,,
2026-03-24,000001,上证指数,3813.283,3849.631,3881.28,1.78,3881.424,3807.994,68062203900,,,,,,,,,,3944.23,4021.38,4075.54,86.867,433.852,24.96,33.3,8.28,22.17,24.63,,,,,
2026-03-23,002624,完美世界,17.83,17.45,16.86,-5.44,17.6,16.67,53860418,,,,,,,,,,18.31,19.23,20.0,1.382,5.296,3.85,19.22,-26.89,3.14,21.47,,,,,
2026-03-23,600111,北方稀土,46.0,45.1,45.22,-1.7,46.5,44.2,101080952,,,,,,,,,,47.17,49.43,53.4,1.223,9.931,10.64,23.75,-15.58,0.18,0.97,,,,,
2026-03-23,002259,升达林业,5.31,5.21,4.99,-6.03,5.25,4.91,33268452,,,,,,,,,,5.37,5.55,5.63,0.697,1.963,6.5,20.99,-22.48,8.25,35.0,,,,,
2026-03-23,000001,上证指数,3957.053,3904.951,3813.283,-3.63,3906.622,3794.684,80473885000,,,,,,,,,,3977.96,4045.57,4087.35,107.107,461.307,5.36,20.23,-24.38,4.24,15.37,,,,,
2026-03-20,002624,完美世界,18.56,18.58,17.83,-3.93,18.82,17.63,42705322,,,,,,,,,,18.8,19.56,20.23,1.697,5.534,5.03,20.01,-24.93,2.89,24.0,,,,,
2026-03-20,600111,北方稀土,46.62,47.0,46.0,-1.33,47.25,45.9,68196846,,,,,,,,,,48.05,50.3,53.88,1.891,10.699,1.08,17.37,-31.5,0.18,0.98,,,,,
2026-03-20,002259,升达林业,5.51,5.48,5.31,-3.63,5.58,5.28,23180100,,,,,,,,,,5.47,5.63,5.66,0.778,2.014,3.49,18.98,-27.49,12.31,42.95,,,,,
2026-03-20,000001,上证指数,4006.552,4004.573,3957.053,-1.24,4022.703,3955.711,66679838700,,,,,,,,,,4032.26,4073.9,4100.79,136.604,484.819,0.72,17.13,-32.1,6.6,29.68,,,,,
2026-03-19,002624,完美世界,19.15,18.8,18.56,-3.08,18.81,18.01,46336064,,,,,,,,,,19.09,19.8,20.41,1.948,5.739,15.28,26.84,-7.84,2.89,28.04,,,,,
2026-03-19,600111,北方稀土,49.01,48.1,46.62,-4.88,48.2,46.36,95919828,,,,,,,,,,49.01,51.13,54.45,2.561,11.396,2.96,18.62,-28.36,0.17,4.82,,,,,
2026-03-19,002259,升达林业,5.56,5.56,5.51,-0.9,5.6,5.48,18412400,,,,,,,,,,5.57,5.69,5.67,0.833,2.057,18.18,28.78,-3.02,32.73,41.83,,,,,
