日期,股票代码,股票名称,昨日收盘,今日开盘,今日收盘,涨跌幅%,最高价,最低价,成交量,成交额,委买,委卖,换手率%,振幅%,量比,市盈率,总市值,流通市值,MA5,MA10,MA20,MACD,MACD信号,KDJ-K,KDJ-D,KDJ-J,RSI6,RSI12,主力净流入,所属板块,板块涨幅%,涨跌家数比,大盘成交额
2026-04-07,002624,完美世界,19.21,19.5,19.58,1.93,19.74,19.3,54017063,,,,,,,,,,19.06,18.51,18.87,0.717,2.938,76.12,67.42,93.52,69.88,57.85,,,,,
2026-04-07,002259,升达林业,5.09,5.1,5.22,2.55,5.25,5.02,17315600,,,,,,,,,,5.2,5.24,5.39,0.352,1.344,46.51,47.67,44.19,47.37,39.72,,,,,
2026-04-07,000001,上证指数,3880.097,3884.151,3890.165,0.26,3902.607,3875.684,47361507600,,,,,,,,,,3905.99,3906.92,3976.24,16.242,261.823,36.66,41.1,27.78,43.31,39.52,,,,,
2026-04-07,600111,北方稀土,47.61,47.62,49.89,4.79,49.98,47.37,93579665,,,,,,,,,,48.25,47.52,48.48,,,,,,,,,,,,
2026-04-03,002624,完美世界,19.59,19.87,19.21,-1.94,19.9,19.01,57409207,,,,,,,,,,18.73,18.24,18.9,0.684,3.135,70.21,63.48,83.67,67.51,50.45,,,,,
2026-04-03,002259,升达林业,5.23,5.2,5.09,-2.68,5.26,5.03,15803800,,,,,,,,,,5.22,5.22,5.42,0.379,1.417,28.0,35.33,13.34,13.16,32.33,,,,,
2026-04-03,000001,上证指数,3919.285,3927.592,3880.097,-1.0,3929.529,3871.3,49269908200,,,,,,,,,,3912.62,3899.23,3986.56,25.126,288.269,48.74,49.16,47.9,47.64,34.8,,,,,
2026-04-03,600111,北方稀土,47.58,47.58,47.61,0.06,48.36,47.35,42284825,,,,,,,,,,47.69,47.05,48.67,,,,,,,,,,,,
2026-04-02,002624,完美世界,19.33,19.93,19.59,1.35,20.22,19.38,105653876,,,,,,,,,,18.53,18.1,18.95,0.682,3.356,82.25,71.51,103.73,76.43,53.47,,,,,
2026-04-02,002259,升达林业,5.23,5.22,5.23,0.0,5.27,5.14,15557581,,,,,,,,,,5.25,5.24,5.46,0.421,1.489,59.26,56.18,65.42,48.65,40.16,,,,,
2026-04-02,000001,上证指数,3948.552,3940.799,3919.285,-0.74,3952.576,3900.116,54421283500,,,,,,,,,,3919.34,3906.92,3998.77,36.138,315.268,77.27,68.19,95.43,46.77,38.65,,,,,
2026-04-02,600111,北方稀土,48.48,48.0,47.58,-1.86,48.48,47.25,44700619,,,,,,,,,,47.62,46.89,49.01,,,,,,,,,,,,
2026-04-01,002624,完美世界,17.57,17.95,19.33,10.02,19.33,17.8,70777767,,,,,,,,,,18.23,17.99,18.97,0.64,3.615,100.0,83.35,133.3,79.5,50.0,,,,,
2026-04-01,002259,升达林业,5.25,5.33,5.23,-0.38,5.37,5.19,16674540,,,,,,,,,,5.28,5.27,5.48,0.453,1.562,47.76,48.51,46.26,51.28,39.53,,,,,
2026-04-01,000001,上证指数,3891.861,3939.566,3948.552,1.46,3955.943,3929.921,56461159800,,,,,,,,,,3913.3,3915.65,4008.23,44.51,343.549,67.48,61.66,79.12,65.6,38.28,,,,,
2026-04-01,600111,北方稀土,47.68,48.49,48.48,1.68,48.78,47.79,67018940,,,,,,,,,,47.35,46.8,49.4,,,,,,,,,,,,
2026-03-31,002624,完美世界,17.93,17.92,17.57,-2.01,18.23,17.54,38369186,,,,,,,,,,17.99,17.98,19.03,0.615,3.913,41.86,44.57,36.44,67.49,31.66,,,,,
